source,target,label
sweet-citron-stork,chilly-azure-scorpion,sweet-citron-stork
sweet-citron-stork,damp-gingerbread-swallow,sweet-citron-stork
sweet-citron-stork,curly-pewter-porcupine,sweet-citron-stork
sweet-citron-stork,sweet-lilac-wolf,sweet-citron-stork
sweet-citron-stork,electric-white-shrimp,sweet-citron-stork
sweet-citron-stork,raspy-inky-donkey,sweet-citron-stork
sweet-citron-stork,loud-seafoam-mink,sweet-citron-stork
sweet-citron-stork,sparkly-mercurial-panther,sweet-citron-stork
crazy-zinc-rook,brave-strawberry-alpaca,crazy-zinc-rook
crazy-zinc-rook,wonderful-aegean-beaver,crazy-zinc-rook
crazy-zinc-rook,festive-jade-raven,crazy-zinc-rook
crazy-zinc-rook,mean-lead-swan,crazy-zinc-rook
crazy-zinc-rook,loud-bronze-crane,crazy-zinc-rook
crazy-zinc-rook,proper-boysenberry-koala,crazy-zinc-rook
crazy-zinc-rook,uneven-bubblegum-orca,crazy-zinc-rook
crazy-zinc-rook,fantastic-blonde-hamster,crazy-zinc-rook
crazy-zinc-rook,warm-caramel-hyena,crazy-zinc-rook
crazy-zinc-rook,immense-burgundy-corgi,crazy-zinc-rook
crazy-zinc-rook,soaring-mango-raccoon,crazy-zinc-rook
crazy-zinc-rook,keen-sangria-mole,crazy-zinc-rook
crazy-zinc-rook,soaring-walnut-corgi,crazy-zinc-rook
crazy-zinc-rook,lone-hazelnut-bear,crazy-zinc-rook
crazy-zinc-rook,stale-charcoal-rat,crazy-zinc-rook
crazy-zinc-rook,breezy-onyx-rattlesnake,crazy-zinc-rook
crazy-zinc-rook,shaggy-quartz-rook,crazy-zinc-rook
crazy-zinc-rook,petite-arctic-iguana,crazy-zinc-rook
crazy-zinc-rook,swift-chocolate-mongoose,crazy-zinc-rook
salty-scarlet-finch,tame-topaz-swift,salty-scarlet-finch
salty-scarlet-finch,droll-tin-antelope,salty-scarlet-finch
salty-scarlet-finch,stale-menthol-piranha,salty-scarlet-finch
salty-scarlet-finch,noisy-blush-flamingo,salty-scarlet-finch
salty-scarlet-finch,custom-magenta-mongoose,salty-scarlet-finch
salty-scarlet-finch,helpful-daffodil-tarantula,salty-scarlet-finch
salty-scarlet-finch,fit-watermelon-capybara,salty-scarlet-finch
short-shadow-panda,mythical-pebble-barracuda,short-shadow-panda
short-shadow-panda,formal-sapphire-pike,short-shadow-panda
short-shadow-panda,smooth-plastic-ant,short-shadow-panda
short-shadow-panda,square-garnet-shetland,short-shadow-panda
short-shadow-panda,cheerful-currant-viper,short-shadow-panda
short-shadow-panda,faithful-ceramic-pangolin,short-shadow-panda
short-shadow-panda,bouncy-cinnamon-anteater,short-shadow-panda
short-shadow-panda,slow-viridian-opossum,short-shadow-panda
interesting-tortilla-armadillo,melted-mango-urchin,interesting-tortilla-armadillo
interesting-tortilla-armadillo,radiant-quartz-bobcat,interesting-tortilla-armadillo
interesting-tortilla-armadillo,unique-brick-guppy,interesting-tortilla-armadillo
interesting-tortilla-armadillo,festive-glass-raven,interesting-tortilla-armadillo
interesting-tortilla-armadillo,elegant-punch-mantis,interesting-tortilla-armadillo
interesting-tortilla-armadillo,little-oily-platypus,interesting-tortilla-armadillo
interesting-tortilla-armadillo,furry-rose-bear,interesting-tortilla-armadillo
interesting-tortilla-armadillo,careful-coal-manatee,interesting-tortilla-armadillo
nice-iris-gerbil,merry-latte-kookaburra,nice-iris-gerbil
